pillar	namespace	stage	covered_by
dag	(positive)	positive-run	conformance/dag/diamond-topology.nika.yaml
dag	(positive)	positive-run	conformance/dag/foreach-empty-skips.nika.yaml
dag	(positive)	positive-run	conformance/dag/foreach-item-index-bindings.nika.yaml
dag	(positive)	positive-run	conformance/dag/foreach-over-upstream-output.nika.yaml
dag	(positive)	positive-run	conformance/dag/when-false-skips.nika.yaml
dag	(positive)	positive-run	conformance/dag/when-has-null-semantics.nika.yaml
dag	NIKA-CANCEL	run-fail	conformance/dag/failure-cancels-downstream.nika.yaml
dag	NIKA-DAG	check-reject	conformance/dag/cycle-reject.nika.yaml
dag	NIKA-DAG	check-reject	conformance/dag/recover-ref-downstream-reject.nika.yaml
dag	NIKA-DAG	check-reject	conformance/dag/ref-without-edge-reject.nika.yaml
dag	NIKA-DAG	check-reject	conformance/dag/undeclared-dep-reject.nika.yaml
dag	NIKA-EXEC	run-fail	conformance/dag/failure-cancels-downstream.nika.yaml
dag	NIKA-EXEC	run-fail	conformance/dag/failure-drains-inflight.nika.yaml
dag	NIKA-EXEC	run-fail	conformance/dag/foreach-fail-fast-false.nika.yaml
dag	NIKA-EXEC	run-fail	conformance/dag/foreach-fail-fast-true.nika.yaml
envelope	(positive)	positive-run	conformance/envelope/minimal-valid-workflow.nika.yaml
envelope	(positive)	positive-run	conformance/envelope/outputs-contract.nika.yaml
envelope	(positive)	positive-run	conformance/envelope/secrets-infer-egress-sanctioned.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-bad-task-id.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-bad-version.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-duplicate-task-id.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-inline-secret-forbidden.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-missing-workflow-field.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-reserved-binding-name.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-task-no-verb.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-unknown-field.nika.yaml
envelope	NIKA-PARSE	check-reject	conformance/envelope/parse-yaml-syntax-reject.nika.yaml
envelope	NIKA-SEC	run-fail	conformance/envelope/sec-exec-array-form-blocklist.nika.yaml
envelope	NIKA-SEC	run-fail	conformance/envelope/sec-exec-blocklist-rm-rf.nika.yaml
envelope	NIKA-SEC	run-fail	conformance/envelope/sec-ssrf-localhost-blocked.nika.yaml
envelope	NIKA-SEC	run-fail	conformance/envelope/sec-ssrf-metadata-blocked.nika.yaml
envelope	NIKA-SEC	run-fail	conformance/envelope/sec-ssrf-private-range-blocked.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-agent-tool-outside-whitelist.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-empty-default-deny.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-exec-absent.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-fs-read-escape.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-fs-write-escape-absolute.nika.yaml
